Name,Subject,Level,Candidates,Mean Grade,1%,2%,3%,4%,5%,6%,7%,Session,Year
SOC.CUL.ANTH. HL,SOC.CUL.ANTH.,HL,788,5.07,0.3,1.2,10.2,22.9,24.9,26,14.6,May,2020
SOC.CUL.ANTH. SL,SOC.CUL.ANTH.,SL,1724,4.83,0.2,3.5,9.9,29.1,22,27.2,8.2,May,2020
TURK 20TH CEN SL,TURK 20TH CEN,SL,541,5.75,0,0.4,3.4,11,23.7,29.1,32.5,May,2020
WLD ART CULT SL,WLD ART CULT,SL,56,6.04,0,0,0,3.6,26.8,32.1,37.5,May,2020
ASTRONOMY SL,ASTRONOMY,SL,60,5.09,1.8,1.8,8.8,15.8,33.3,22.8,15.8,May,2020
BIOLOGY HL,BIOLOGY,HL,31441,4.72,0.5,3.7,15.3,24.5,25.6,20.8,9.7,May,2020
BIOLOGY SL,BIOLOGY,SL,21449,4.45,0.4,5.1,20.5,26.8,24.1,16.9,6.3,May,2020
CHEMISTRY HL,CHEMISTRY,HL,16907,4.92,0.4,2.6,13,21,26.6,24.3,12.2,May,2020
CHEMISTRY SL,CHEMISTRY,SL,15570,4.34,1.1,6.6,22.2,26.2,21.3,15.9,6.7,May,2020
COMPUTER SC. HL,COMPUTER SC.,HL,2605,4.76,0.7,6,13.8,20.6,26.9,19.1,12.9,May,2020
COMPUTER SC. SL,COMPUTER SC.,SL,2307,4.26,1.6,10.3,20.2,23.9,22.5,14.9,6.5,May,2020
DESIGN TECH. HL,DESIGN TECH.,HL,1411,4.46,0.2,5,13.3,36.1,24.3,17.5,3.5,May,2020
DESIGN TECH. SL,DESIGN TECH.,SL,1383,3.95,0,8.8,29.7,30.4,21.5,8.1,1.6,May,2020
MARINE SCI. SL,MARINE SCI.,SL,276,4.76,0,6.8,14,23.2,24,16.8,15.2,May,2020
NOS SL,NOS,SL,205,4.52,0,7.8,15.6,25.9,25.9,17.1,7.8,May,2020
PHYSICS HL,PHYSICS,HL,14046,5.29,0.3,1.5,8.9,17.3,25.3,23.1,23.6,May,2020
PHYSICS SL,PHYSICS,SL,12848,4.7,0.5,3.6,16.4,24.6,26.3,16.6,12,May,2020
